_id,Project,Province,District,Municipality,Capacity (MW),River,Lic No,Isuue Date,Validity,Promoter,Address,Longitude,Latitude,License Type
30,Bhim Khola Small HPP,Province 4,BAGLUNG,Galkot,4.96,Bhim Khola,727,2073-03-10,2075-03-09,Shikhar Power Development Pvt.Ltd.,"Baneshower, Kathmandu 9851133303",83.24055556,28.28986111,Survey
31,Bhotekoshi 1 Hydropower Project,Province 3,SINDHUPALCHOK,Bhotekoshi,44.0,Bhotekoshi,969,2074-09-11,2076-09-10,Shailung Power Company Pvt. Ltd.,"Khumaltar, Lalitpur",85.91902778,27.89791667,Survey
32,Bhotekoshi Khola Hydropower Project,Province 3,RASUWA,Gosaikunda,33.5,Bhote Koshi,1009,2075-02-10,2077-02-09,Pawan Kumar Golyan,"Rangeli, Morang, Phone no 014671201",85.34583333,28.17083333,Survey
33,Bhurundi Khola Small HPP,Province 4,KASKI,Annapurna,4.73,Bhurundi Khola,837,2074-02-21,2076-02-20,Yadav Raj Mainali,"Kathmandu-09, Battisjputali",83.76333333,28.31763889,Survey
34,Bijayapur-1,Province 4,KASKI,Madi,4.5,Bijayapur,34,2066-12-22,2101-12-21,Bhagawati Hydropower Development Company,0,84.03291667,28.18375,Operation
35,Bijaypur Khola-2 HPP,Province 4,KASKI,Pokhara Lekhnath,4.5,Bijaypur,166,2073-04-25,2108-04-24,Civil hydropower company,"Lekhanath Nagarpalika, Phone no 0610465562, email : civilhydropower@gmail.com",84.03833333,28.16486111,Generation
36,Botekoshi 5 HYDROPOWER PROJECT,Province 3,SINDHUPALCHOK,Bhotekoshi,62.0,Bhotekoshi,641,2069-07-26,2075-12-19,KALIKA ENERGY PVT LTD,"Bharatpur-10, Chitwan, Tel: 056-522440,520456, PBN 21534; FX 4439155",85.88375,27.78902778,Survey
37,Brahmayani HPP,Province 3,SINDHUPALCHOK,Jugal,40.0,Balefi Khola,836,2074-02-23,2076-02-22,Ekikrit Byapar Company Pvt. Ltd.,"Chakupat-15, Lalitpur",85.76916667,28.04722222,Survey
38,Budhi Gandaki Hydropower Project,Province 4,GORKHA,Dharche,341.0,Budhi Gandaki,601,2068-01-14,2076-01-28,Times Enery Pvt. Ltd,"Baneswor Kathmandu, 01-4460606, 9851024986",84.89930556,28.325,Survey
39,Budhi Gandaki Kha HEP,Province 4,GORKHA,Dharche,260.0,Budhigandaki,988,2074-12-08,2076-12-07,Nilgiri Khola Hydropower Company Limited,"Kamaladi, Kathmandu",84.86666667,28.17722222,Survey
40,Budhi Gandaki Nadi HPP,Province 4,GORKHA,Chum Nubri,91.15,Budhi Gandaki,931,2074-07-15,2076-07-14,"Surya Energy Pvt.Ltd,","Mharajgunj, Kathmandu",84.88472222,28.46402778,Survey
41,Budhi Gandaki Prok Khola HEP,Province 4,GORKHA,Chum Nubri,420.0,Budhi Gandaki,902,2074-05-26,2076-05-25,Chilime Hydropower Company Limited,"Dhumbarahi, Kathmandu, 01-4370720",84.80833333,28.54694444,Survey
43,Buku Khola,Province 3,RAMECHHAP,Umakunda,6.0,Buku,216,2074-09-25,2109-09-24,Apolo Hydropower Pvt.Ltd,"Lalitpur, phone: 5201375",86.36236111,27.51972222,Generation
44,Buku-Kapati Hydropower Project,Province 1,SOLUKHUMBU,Solududhakunda,5.0,Buku,203,2074-05-08,2109-05-07,Him Star Urja Company Pvt. Ltd.,"Baluwatar-4, Kathmadu. PO Box : 20762, Phone no 4167507, 6911637",86.38944444,27.51111111,Generation
45,Chainpur Seti,Province 7,BAJHANG,Talkot,210.0,Seti Khola,867,2074-03-30,2076-03-29,Nepal Electricity Authority,"Durbar Marg , Kathmandu",81.30208333,29.675,Survey
46,Chake Khola,Province 3,RAMECHHAP,Umakunda,2.83,Chake Khola,114,2070-11-21,2105-11-20,Garjang Upatyaka HP Company Limited,"Khusibu, Ward No. 17, KTM",86.33708333,27.62972222,Operation
47,Chaku Khola,Province 3,SINDHUPALCHOK,Bhotekoshi,3.0,Chaku,17,2061-11-04,2096-11-03,Alliance Power Nepal P.Ltd,0,85.92083333,27.875,Operation
48,Chameliya Khola,Province 7,DARCHULA,Shailyashikhar,30.0,Chameliya Khola,20,2063-09-04,2098-09-03,Nepal Electricity Authority,0,80.69166667,29.70833333,Operation
49,Charnawati Khola Hydroelectric Project,Province 3,DOLAKHA,Bigu,3.52,Charnawati,40,2067-08-17,2102-08-16,Nepal Hydro Developer Pvt Ltd,"Baneswar-10, Kathmandu, Tel; 4441131, Fax: 014441973,POB: 26435",86.02791667,27.64305556,Operation
50,Chauri Khola,Province 3,DOLAKHA,Bhimeshwor,5.0,Chauri,156,2073-01-14,2108-01-13,Chauri Hydropower P Ltd,"Anamnagar-32 , KTM, Ph: 014102696, Fax 4102696, email - chaurihydro@gmail.com",85.87652778,27.60763889,Generation
51,Chepe Khola HPP,Province 4,LAMJUNG,Dudhpokhari,7.0,Chepe Khola,707,2072-08-16,2075-08-15,Champawati Hydro Power P.Ltv,"Kathmandu -14 Balkhu,4036085,4036086",84.5675,28.12958333,Survey
52,Chepe Khola Small Hydropower Project,Province 4,GORKHA,Ajirkot,8.63,Chepe Khola,843,2074-02-24,2076-02-23,Aashutosh Investment Pvt. Ltd.,"KMC-16, Kathmandu, 01-4359237 (Jivraj Kandel)",84.63763889,28.19708333,Survey
53,Chhandi Khola,Province 4,LAMJUNG,Dordi,2.0,Chhandi,103,2070-05-24,2105-05-23,Chhyandi Hydropower Co. P. Ltd,"Ph: 014424925, 9851095497, 014426483",84.47888889,28.26055556,Operation
54,Chhomron Khola Small Hydro Power Project,Province 4,KASKI,Annapurna,3.914,Chhomron Khola,872,2074-04-08,2076-04-07,Ghandruk Hydro Private Limited,"Banasthali, Kathmandu-16, Kathmandu",83.82736111,28.43194444,Survey
56,Chilime,Province 3,RASUWA,Gosaikunda,22.0,Chilime,6,2054-04-26,2104-11-30,Chilime Hydropower Company Limited,0,85.31958333,28.16972222,Operation
57,Chino Khola HEP,Province 4,MANANG,Nashong,8.5,Chino,1018,2075-03-04,2077-03-03,Butwal Power Company,"Budhhanagar, Kathmandu",84.33097222,28.54375,Survey
58,Chisang Khola -A Small Hydropower Project,Province 1,PANCHTHAR,Miklajung,1.8,Chisang,676,2070-12-09,2075-12-08,Chisang Hydro Pvt Ltd,"Kirtipur-17, Kathmandu, Tel: 9841617469",87.48944444,26.82111111,Survey
59,Chujung Khola HEP,Province 1,SANKHUWASABHA,Bhotkhola,48.0,Chujung,1023,2075-04-20,2077-04-19,Sangrila Urja Pvt. Ltd,"Babarmahal, Kathmandu",87.47680556,27.75611111,Survey
60,ChulepuKhola Hydropower Project,Province 3,RAMECHHAP,Umakunda,8.52,"Chulepu,Dhunde Khola",155,2073-01-13,2108-01-12,Chandeswari Mahadev Khola Micro Hydro Com.P.Ltd.,"Madhyapur Thimi 15, Kausaltar,Bhaktapur 6630660,9851088190",86.28069444,27.50527778,Generation
61,Chunchet Syar Khola HEP,Province 4,GORKHA,Chum Nubri,60.0,Syar Khola,993,2074-12-25,2076-12-24,Chilime Hydropower Company Limited,"Dumbarahi Kathmandu, 014370773, 01-4370793",84.93361111,28.45763889,Survey
62,Chyandi Khola,Province 4,LAMJUNG,Dudhpokhari,5.1,Chyandi Khola,854,2074-03-15,2076-03-14,Puspa Duwadi,"Bichour VDC-1, 9841285734",84.62777778,28.22652778,Survey
63,Dadagau Khalanga Bheri Hydropower Project,Province 6,JAJARKOT,Bheri,128.0,Bheri,806,2074-01-10,2076-01-09,Gezhouba Group Power Investment Nepal Pvt. Ltd.,"Boudha, Kathmandu 6, Nepal. mob: 9818349684,9803435888",82.27277778,28.73958333,Survey
64,Dana Khola Hydropower Project,Province 4,MANANG,Nashong,19.0,Dana Khola,941,2074-07-26,2076-07-25,Lalupate Hydropower Company Pvt. Ltd.,"Kathmandu Metropolitan City, Ward No. 07, Lampokhari Marg, Kathmandu, 9841584500, 9851052451",84.37791667,28.51555556,Survey
65,Daram Khola HEP,Province 5,GULMI,Musikot,7.3,Daram,183,2073-10-23,2108-10-22,Daram Khola Hydro Energy Limited,"Baglung, Nepal Phone: 9851012086, 9857622240, 068-690939, email : daramkholahydroenergy@gmail.com",83.33930556,28.19583333,Generation
66,Daram Khola-A,Province 4,MYAGDI,Mangala,2.5,Daram,89,2070-02-02,2105-02-01,Sayapatri Hydropower Pvt. Ltd.,"Gongabu-29 Kathmandu, Phone 01-4364009",83.41625,28.28847222,Operation
67,Daraundi A,Province 4,GORKHA,Sulikot,6.0,Daraundi,62,2069-02-16,2104-02-15,Daraundi Kalika Hydro,"Samakhusi, Kathmandu, Nepal. Ph: 4360076",84.67722222,28.1225,Operation
68,Daraundi-1,Province 4,GORKHA,Aarughat,10.0,Daraundi,158,2073-02-26,2108-02-05,Diamond Hydropower Pvt. Ltd,"Babarmahal, Kathmandu. Po. Box no 21287, Phone no 44442330, Email durga_amagain@yahoo.com",84.65722222,28.07763889,Generation
69,Darkhola Small HPP,Province 4,MYAGDI,Dhaulagiri,4.64,Dar Khola,804,2074-01-10,2076-01-09,"Darkhola Hydropower Pvt. Ltd.,","Ktm 29 Samakhushi, Phone 4388581, 9851140372",83.32597222,28.50555556,Survey
70,Devdhunga Chaku Khola HEP,Province 3,SINDHUPALCHOK,Bhotekoshi,3.56,Chaku and Devdhunga,974,2074-09-21,2076-09-20,Devdhunga Malika Hydropower Pvt. Ltd,"New Baneshwor, Kathmandu, 9851229755, 01-4480251",85.98194444,27.86194444,Survey
71,Devighat,Province 3,NUWAKOT,Panchakanya,14.1,Trishuli,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,0,85.13888889,27.90222222,Operation
73,Dhaula Khola HEP,Province 4,MYAGDI,Dhaulagiri,9.5,Dhaula,983,2074-11-11,2076-11-10,Dhaulashree Power Pvt. Ltd,"Ka. Ma. Na. Pa- 03, Kathmandu",83.26125,28.57861111,Survey
74,Dhauligad Sunakhani Bagar SHP,Province 7,BAJHANG,JayaPrithivi,0.99,Dhauligad,0,2073-03-06,2075-03-05,"Khecheswor Jalvidyut Co P Ltd, Bhajhang","Contact address: Bishal nagar Kathmandu, 4410184, 4421204, 9841298479",81.16055556,29.45097222,Survey
76,dobhan Khola HPP,Province 4,GORKHA,Chum Nubri,16.0,Dobhan Khola,1008,2075-02-09,2077-02-08,Upper Syange Hydropower Ltd,"Chandol-4, Kathmandu, Phone no 4442860",84.92777778,28.28888889,Survey
77,Dordi Dudh Khola Small Hydropower,Province 4,LAMJUNG,Dordi,20.8,Dordi,745,2073-07-03,2075-07-02,Amar Nath Shrestha,"Budhabare-9, Jhapa, Tel 4354727,9851026084",84.60069444,28.35444444,Survey
78,Dordi Khola,Province 4,LAMJUNG,Sundarbazar,27.0,Dordi,48,2068-03-23,2103-03-22,Himalaya Power Partner Pvt. Ltd,"POB 8975 EPC 4205 Marajaganj,Kathmandu,nepal Phoneand Fax: 4375874",84.45416667,28.19611111,Generation
79,Dordi-1,Province 4,LAMJUNG,Dordi,10.3,Dordi,82,2069-10-12,2104-10-11,Dordi Khola Jalvidyut Company Limited,"Tripushwor, Kathmandu, P.O. Box: 20290, Ph:4232748, 4232749, Fax: 4232750",84.46388889,28.23944444,Generation
80,Down Piluwa,Province 1,SANKHUWASABHA,Panchakhapan,9.5,Piluwa Khola,113,2070-11-04,2105-11-03,River Falls Hydropower Development P. Ltd.,"P.O.Box, 14165, Anamnagar, Kathmandu, Phone 01-4238159, Fax 01-4102651",87.28472222,27.24583333,Generation
81,Dudh Khola Dordi HPP,Province 4,LAMJUNG,Dordi,5.0,Dudh Khola,860,2074-03-22,2076-03-21,Cheef Bahadur Thapa,"kathmandu-3,Srijansil Marg, Nepal. 9851087501,4229124",84.60638889,28.37583333,Survey
82,Dudh khola HPP,Province 4,MANANG,Nashong,65.0,Dudh Khola,818,2074-02-04,2076-02-03,Sita Hydropower Company Pvt.Ltd.,"Kathmandu 13 kalimati,, Sitaram Timilsina",84.37708333,28.53944444,Survey
83,Dudh Khola Small HPP,Province 4,GORKHA,Chum Nubri,5.0,Dudh Khola,917,2074-06-24,2076-06-23,Mahendra Bahadur Baniya,"Balkhu Kathmandu, Phone no 4785923, 4278134, 9851073403",84.6275,28.36486111,Survey
84,Dudhkoshi 10 HEP,Province 1,SOLUKHUMBU,Khumbupasanglahmu,75.0,Dudhkoshi,868,2074-04-02,2076-04-01,Lotus Investment Pvt. Ltd,"Lazimpat 2, Kathmandu",86.71666667,27.77263889,Survey
85,Dudhkoshi-6 HEP,Province 1,SOLUKHUMBU,Khumbupasanglahmu,83.0,Dudh Koshi,717,2072-12-02,2075-12-01,Yeti Trade and Developers Pvt. Ltd.,"Gongabu-29, Kathmandu.",86.7125,27.68277778,Survey
86,Dudhkoshi-9 HPP,Province 1,SOLUKHUMBU,Khumbupasanglahmu,111.0,Dudhkoshi,785,2073-11-02,2075-11-01,Urja Developers Pvt.Ltd.,"Tripureshwor-11, Kathmandu,Po Box 1223 Kathamandu, 9851022915,9851036606,9851059177",86.71666667,27.72555556,Survey
87,Dudhkunda Khola HPP,Province 1,SOLUKHUMBU,Khumbupasanglahmu,12.0,Solu Khola,793,2073-12-08,2075-12-07,Mount Everest Power Development P.Ltd.,"Mahalaxmisthan , Lalitpur-13, Ph. 01-5523784,5527469, 9851039258(Arjun Paudel)",86.60555556,27.60208333,Survey
88,Dudhpokhari Chepe HEP,Province 4,GORKHA,Ajirkot,8.836,Chepe Khola,935,2074-07-21,2076-07-20,Dudhpokhari Chepe Hydropower Pvt. Ltd,"Kathmandu-10, 01-4004103, Contact person- Kiran Shrestha 9851157962",84.65763889,28.26583333,Survey
89,Durbang Myagdi Khola,Province 4,MYAGDI,Mangala,25.0,Myagdi Khola,130,2071-11-04,2106-11-03,Dhaulagiri Kalika Hydropower P Ltd,"Kathmandu-6,, Banasthali, Phone no 4353348, 9851044986",83.40694444,28.41458333,Generation
90,Dwari Khola SHP,Province 6,JAJARKOT,Junichande,3.75,Dwari,124,2071-02-26,2106-02-25,Bhugol Energy Development Company Pvt Ltd,"Kupandole, Lalitpur, Tel: 9841488723,9841505699",81.82847222,28.93166667,Operation
93,Galkot Daram Hydroectric Project,Province 4,BAGLUNG,Kanthekhola,5.0,Daram,739,2073-06-07,2075-06-06,Galkot Daram Hydropower Ltd.,"Thapathali, Kathmandu, Phone no 4232733, 9860009358",83.40708333,28.2125,Survey
94,Gamari Gad HEP,Province 5,RUKUM_E,Dhorpatan Hunting Reserve,4.36,Gamari Gad,827,2074-02-10,2076-02-09,Ram Prasad Acharya,"Bijuli- 6 Pyuthan 9851145001, 01-4601672",82.79888889,28.67791667,Survey
95,Gandak,Province 5,NAWALPARASI_W,Pratappur,15.0,Narayani,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,0,83.86291667,27.44680556,Operation
96,Gapuche Madi Nadi HEP,Province 4,MANANG,Chame,24.0,Madi,1022,2075-03-18,2077-03-17,Empower Hydropower Pvt. Ltd.,Kaski,84.11666667,28.43472222,Survey
97,Garjan Khola Small HPP,Province 3,DOLAKHA,Jiri,0.9,Garjan Khola,0,2073-12-31,2075-12-30,Ice Land Power Pvt.ltd.,"Kathmandu-35,Jadibuti 4472160. 9843312689",86.33569444,27.64958333,Survey
98,Gasali Khola Small HEP,Province 3,DHADING,Rubi Valley,4.5,Gasali,955,2074-08-12,2076-08-11,Himshila Power Company Pvt Ltd,"Babarmahal, Kathmandu, 01-4222934, 01-4225281",85.03555556,28.08305556,Survey
99,Gelun Khola HPP,Province 3,SINDHUPALCHOK,Barhabise,3.2,Gelun,93,2070-02-06,2105-02-05,Gelun Khola Hydropower Company Pvt Ltd,"Baneswar, Kathmandu Tel: 4492150",85.79791667,27.83472222,Generation
100,Ghalemdi Khola,Province 4,MYAGDI,Annapurna,5.0,Ghalemdi,110,2070-09-14,2105-09-13,Ghalemdi Hydro Limited,"P.O.Box 9560, Banasthatli, Kathmandu; Tel. 014362520; 69521079; ghalemdi@gmail.com",83.6875,28.53333333,Generation
101,Ghar Khola,Province 4,MYAGDI,Annapurna,8.3,Ghar,137,2072-03-11,2107-03-10,Myagdi Hydropower Pvt. Ltd.,"Pardi Pokhara, Phone 061-463429",83.65277778,28.46736111,Generation
102,Ghatte Khola,Province 3,DOLAKHA,Gaurishankar,5.0,Ghatte Khola,138,2072-03-24,2107-03-23,Mankamana Engineering HP,"P.O.Box. 8020, Kathmandu,4785771",86.29652778,27.78041667,Generation
104,Ghunsa Khola HPP,Province 1,TAPLEJUNG,Phaktanglung,155.82,Ghunsa khola,991,2074-12-13,2076-12-12,RM Investment Company Pvt. Ltd.,"New Baneshor, Ktm, Nepal, Ph. No. 4781891",87.89236111,27.6125,Survey
105,Ghunsa Khola HPP,Province 1,TAPLEJUNG,Phaktanglung,71.5,Ghunsa Khola,737,2073-04-18,2076-04-17,Remit Hydro Ltd,"Babarmahal, Kathmandu-11,4257024,4257025,9851084895 fax4251060",87.83305556,27.54805556,Survey
106,Ghunsa-Tamor HPP,Province 1,TAPLEJUNG,Phaktanglung,43.0,Tamor,812,2074-01-29,2076-01-28,Nepal Hydro Venture Pvt.Ltd.,"Bluestar Hotel complex, Thapathali, Kathmandu. PO Box 23585",87.79791667,27.54416667,Survey
107,Gidi Khola HEP,Province 6,JUMLA,Tatopani,9.0,Gidi,1001,2075-01-07,2077-01-06,Himal Group of Energy Pvt. Ltd,"United World Trade Center, Tripureshwor, Kathmandu, 9851053161 Himal Gurung",82.1675,29.20930556,Survey
112,Gumu Khola HEP,Province 3,DOLAKHA,Bigu,0.95,Gumu Khola,0,2073-05-20,2075-05-19,Gumu Khola Bhyakure Hydropower P.Ltd. (Mitra Bahadur Shrestha),"Ward No.7 Khare VDC, Dolakha",86.12708333,27.72083333,Survey
113,Hewa A Small HEP,Province 1,PANCHTHAR,Yangwarak,5.0,Hewa Khola,235,2075-04-14,2110-04-13,Habitat Power Company Pvt. Ltd,"01-4469808, 9841531682",87.86875,27.18583333,Generation
114,Hewa khola,Province 1,SANKHUWASABHA,Sabhapokhari,4.455,Hewa Khola,25,2065-01-22,2100-01-21,Barun Hydropower Development Co. Pvt. Ltd,0,87.33111111,27.32041667,Operation
115,Hewa Khola (Chainpur) HEP,Province 1,SANKHUWASABHA,Khandbari,2.5,Hewa Khola,889,2074-05-14,2076-05-13,Chapung Tem Hydropower Pvt. Ltd,"Baneshwor, Kathmandu Dipak Kumar Rai",87.26111111,27.30222222,Survey
116,Hewa Khola A,Province 1,PANCHTHAR,Falelung,14.9,Hewa Khola,74,2069-08-21,2104-08-20,Panchthar Power Company Pvt. Ltd.,"Hativan 15, Lalitpur, Phone 01-5251003 fax 5251004",87.82055556,27.18083333,Operation
117,Hidi Khola HPP,Province 4,LAMJUNG,Marsyangdi,6.82,Hidi Khola,789,2073-11-24,2075-11-23,North Summit Hydro Pvt.ltd.,"Anamnagar-32,Kathmandu, 9851147724,9851121726, P.O Box 19820",84.50236111,28.37861111,Survey
118,Himchuli Dordi Hydropower Project,Province 4,GORKHA,Chum Nubri,57.0,Dordi,699,2071-12-13,2075-12-12,Peoples Hydropower Company Pvt. Ltd,"Anamnagar, Kathmandu, Po Box No. 25038",84.57916667,28.32736111,Survey
119,Hongu Khola HPP,Province 1,SANKHUWASABHA,Silichong,21.87,Hongu Khola,799,2073-12-21,2075-12-20,Union Hydropower Ltd,"Lalitpur-3, Dhobighat, Phone no. 5525406",86.895,27.55666667,Survey
120,Hongu Khola I HEP,Province 1,SOLUKHUMBU,Mahakulung,18.64,Hongu Khola,857,2074-03-15,2076-03-14,Khare Investment Limited,"Bluestar Complex, Tripureshwor, Kathmandu 01-4101140,01-4251080",86.78541667,27.48208333,Survey
121,Humla Karnali 1 HPP,Province 6,HUMLA,Chankheli,235.0,Humla Karnali,998,2074-12-29,2076-12-28,Sichuan Wangping Energy Science and Technology Co. Ltd.,"177 Tianfu Ave. Hi-tech Zone, Chengdu, China",81.9875,29.7375,Survey
122,Humla Karnali 2 HPP,Province 6,HUMLA,Sarkegad,335.0,Humla Karnali,999,2074-12-29,2076-12-28,Sichuan Wangping Energy Science and Technology Co. Ltd.,"No. 177 Tianfu Ave. Hitech Zone Chengdu, China",81.89569444,29.82319444,Survey
124,Ikhuwa Khola HEP,Province 1,SANKHUWASABHA,Makalu,30.0,Ikhuwa,1000,2075-01-07,2077-01-06,Upper Arun Hydro Electric Limited,"Durbar Marg Kathmandu,9851022252( Bishwo Dhoj Joshi), 01-4153039,4117154,4117163,4153227",87.38652778,27.6,Survey
